account_name,date,value
00XX_E_MPCP_US,2012-01-01,3.2
00XX_E_MPCP_US,2012-02-01,3.8
00XX_E_MPCP_US,2012-03-01,2.5
00XX_E_MPCP_US,2012-04-01,3.1
00XX_E_MPCP_US,2012-05-01,4.6
00XX_E_MPCP_US,2012-06-01,2.5
00XX_E_MPCP_US,2012-07-01,2.5
00XX_E_MPCP_US,2012-08-01,3.2
00XX_E_MPCP_US,2012-09-01,3.0
00XX_E_MPCP_US,2012-10-01,4.2
00XX_E_MPCP_US,2012-11-01,4.0
00XX_E_MPCP_US,2012-12-01,3.3
00XX_E_MPCP_US,2013-01-01,4.1
00XX_E_MPCP_US,2013-02-01,4.1
00XX_E_MPCP_US,2013-03-01,3.6
00XX_E_MPCP_US,2013-04-01,6.2
00XX_E_MPCP_US,2013-05-01,2.5
00XX_E_MPCP_US,2013-06-01,3.0
00XX_E_MPCP_US,2013-07-01,2.4
00XX_E_MPCP_US,2013-08-01,3.3
00XX_E_MPCP_US,2013-09-01,5.6
00XX_E_MPCP_US,2013-10-01,3.2
00XX_E_MPCP_US,2013-11-01,4.3
00XX_E_MPCP_US,2013-12-01,3.8
00XX_E_MPCP_US,2014-01-01,4.4
00XX_E_MPCP_US,2014-02-01,4.7
00XX_E_MPCP_US,2014-03-01,3.7
00XX_E_MPCP_US,2014-04-01,4.2
00XX_E_MPCP_US,2014-05-01,3.4
00XX_E_MPCP_US,2014-06-01,11.8
00XX_E_MPCP_US,2014-07-01,5.1
00XX_E_MPCP_US,2014-08-01,4.6
00XX_E_MPCP_US,2014-09-01,6.2
00XX_E_MPCP_US,2014-10-01,4.4
00XX_E_MPCP_US,2014-11-01,3.2
00XX_E_MPCP_US,2014-12-01,3.9
00XX_E_MPCP_US,2015-01-01,3.9
00XX_E_MPCP_US,2015-02-01,3.0
00XX_E_MPCP_US,2015-03-01,5.7
00XX_E_MPCT_US,2012-01-01,3.2
00XX_E_MPCT_US,2012-02-01,3.8
00XX_E_MPCT_US,2012-03-01,2.5
00XX_E_MPCT_US,2012-04-01,3.1
00XX_E_MPCT_US,2012-05-01,4.6
00XX_E_MPCT_US,2012-06-01,2.5
00XX_E_MPCT_US,2012-07-01,2.5
00XX_E_MPCT_US,2012-08-01,3.2
00XX_E_MPCT_US,2012-09-01,3.0
00XX_E_MPCT_US,2012-10-01,4.2
00XX_E_MPCT_US,2012-11-01,4.0
00XX_E_MPCT_US,2012-12-01,3.3
00XX_E_MPCT_US,2013-01-01,4.1
00XX_E_MPCT_US,2013-02-01,4.1
00XX_E_MPCT_US,2013-03-01,3.6
00XX_E_MPCT_US,2013-04-01,6.2
00XX_E_MPCT_US,2013-05-01,2.5
00XX_E_MPCT_US,2013-06-01,3.0
00XX_E_MPCT_US,2013-07-01,2.4
00XX_E_MPCT_US,2013-08-01,3.3
00XX_E_MPCT_US,2013-09-01,5.6
00XX_E_MPCT_US,2013-10-01,3.2
00XX_E_MPCT_US,2013-11-01,4.3
00XX_E_MPCT_US,2013-12-01,3.8
00XX_E_MPCT_US,2014-01-01,4.4
00XX_E_MPCT_US,2014-02-01,4.7
00XX_E_MPCT_US,2014-03-01,3.7
00XX_E_MPCT_US,2014-04-01,4.2
00XX_E_MPCT_US,2014-05-01,3.4
00XX_E_MPCT_US,2014-06-01,11.8
00XX_E_MPCT_US,2014-07-01,5.1
00XX_E_MPCT_US,2014-08-01,4.6
00XX_E_MPCT_US,2014-09-01,6.2
00XX_E_MPCT_US,2014-10-01,4.4
00XX_E_MPCT_US,2014-11-01,3.2
00XX_E_MPCT_US,2014-12-01,3.9
00XX_E_MPCT_US,2015-01-01,3.9
00XX_E_MPCT_US,2015-02-01,3.0
00XX_E_MPCT_US,2015-03-01,5.7
00XX_E_MPCV_US,2012-01-01,0.8
00XX_E_MPCV_US,2012-02-01,0.8
